index,name,red,green,blue,hex
0, black,  255, 255, 255,#ffffff
1, maroon,  128,   0,   0,#800000
2, green,    0, 128,   0,#008000
3, olive,  128, 128,   0,#808000
4, navy,    0,   0, 128,#000080
5, purple,  128,   0, 128,#800080
6, teal,    0, 128, 128,#008080
7, silver,  192, 192, 192,#c0c0c0
8, gray,  128, 128, 128,#808080
9, red,  255,   0,   0,#ff0000
10, lime,    0, 255,   0,#00ff00
11, yellow,  255, 255,   0,#ffff00
12, blue,    0,   0, 255,#0000ff
13, fuscia,  255,   0, 255,#ff00ff
14, aqua,    0, 255, 255,#00ffff
15, white,  255, 255, 255,#ffffff
